id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
206167;BRIGHT, COMFY AND CENTRAL;1014050;Minerva;Sants-Montju?c;el Poble Sec;41.37406;2.16524;Entire home/apt;120;3;87;09/12/2019;0.91;1;265
206846;Duplex studio near Picasso Museum;612665;Oscar;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38743;2.17847;Entire home/apt;128;31;74;08/27/2019;0.8;8;203
209673;Sweet Apartment in Gr?cia district!;1033366;Elena;Gr?cia;la Vila de Gr?cia;41.39895;2.15742;Entire home/apt;77;2;240;09/08/2019;2.94;1;298
213296;Big/Centric Room-Palau de la Musica;1100014;Sol;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38771;2.1763;Private room;40;3;276;08/08/2019;3.09;3;342
213368;Lovely room Barcelona up 2 people;1037730;Elisagela Cristina;Gr?cia;la Salut;41.413;2.159;Private room;55;2;48;07/25/2019;0.5;2;338
213581;Room Centric + Personal Dressing;1100014;Sol;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38818;2.17571;Private room;32;3;231;08/27/2019;2.49;3;326
214970;Cozy Room in central flat Barcelona;1110014;Janeth;Sants-Montju?c;el Poble Sec;41.37171;2.16412;Private room;35;4;132;09/02/2019;1.49;1;317
216699;SUPER CENTRAL CUTE DOUBLE ROOM+TERRACE!;1118232;Fran;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38484;2.17796;Private room;42;3;286;09/09/2019;3.05;1;21
218503;Single room next to Bogatell Beach / ?çïÈó¥,?óÅ???ÁöÑ?µ∑?ª©;1130143;Jan;Sant MartÌ;el Poblenou;41.39765;2.20739;Private room;30;3;51;09/02/2019;0.57;2;244
228638;Dble room in BCN with yoga shala;1190018;Maria Y Lucas;Gr?cia;Vallcarca i els Penitents;41.41153;2.14695;Private room;40;2;17;09/02/2019;0.19;1;48
232400;DESIGNER DUPLEX SPA & TERRACE;4369049;Ariadna;Gr?cia;la Vila de Gr?cia;41.39745;2.1549;Entire home/apt;95;3;271;09/01/2019;2.97;2;190
234375;ATTIC VIEWS SAGRADA FAMILIA;1227290;Francesca;Eixample;el Fort Pienc;41.39918;2.1752;Entire home/apt;105;10;33;08/25/2019;0.85;1;118
238703;Comfy Flat in Sagrada Familia;567180;Sandra;Eixample;la Sagrada Familia;41.40571;2.17505;Entire home/apt;149;2;62;08/13/2018;0.98;13;45
239492;CozyRoom&Garden Priv.Bathroom AC;1255733;Antonia;Sants-Montju?c;el Poble Sec;41.37026;2.16103;Private room;44;4;190;08/24/2019;2;2;54
239821;APARTAMENT BCN MIRALL, in the best neighborhood;1257705;JosÈ Luis;Sarri?-Sant Gervasi;Sant Gervasi - Galvany;41.39607;2.14534;Entire home/apt;142;1;26;08/09/2019;0.47;3;305
250016;Excellent - 3 bedrooms, 2 bathrooms - Gothic;1310304;Luis;Ciutat Vella;el Barri G?tic;41.38732;2.17367;Entire home/apt;65;45;2;05/17/2019;0.02;31;283
251424;NICE ROOMS FOR RENT IN BARCELONA;1318630;Olga;Eixample;la Dreta de l'Eixample;41.38957;2.1625;Private room;60;2;47;02/26/2019;0.73;4;255
252232;Nice apartment with POOL BARCELONA;1298586;Kristjan Y Ana;Sant MartÌ;Sant MartÌ de ProvenÁals;41.41531;2.20069;Entire home/apt;83;2;106;08/24/2019;1.15;6;86
255195;Lightly apartment with balcony to Las Ramblas;1310304;Luis;Ciutat Vella;el Raval;41.38151;2.17187;Entire home/apt;41;32;13;08/18/2019;0.14;31;276
256354;tranquila room in cosy flat....;1348378;Lidia;Gr?cia;Vallcarca i els Penitents;41.41446;2.13945;Private room;23;30;44;07/26/2019;0.48;2;219
256628;Cozy bedroom in a loft, el Raval.;742068;R&M;Ciutat Vella;el Raval;41.37654;2.17385;Private room;40;3;233;08/31/2019;2.49;2;112
256677;Barcelona Center!The Gothic Area;1350468;Petrutz;Ciutat Vella;el Barri G?tic;41.38065;2.17629;Private room;50;3;149;09/12/2019;1.67;1;339
256982;Centric spacious nostalgic Room;1352184;Jasmin;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38406;2.17926;Private room;40;3;102;08/19/2019;1.14;1;291
261750;THEVINTAGERENTALS Delux 5 bedrooms Pg de Gracia;1369675;Javier;Gr?cia;la Vila de Gr?cia;41.39809;2.15839;Hotel room;350;3;12;07/21/2019;0.13;3;340
264125;Sagrada Familia 5' Metro WIFI fibre;1377744;Esther & Gemma;Sant MartÌ;el Camp de l'Arpa del Clot;41.41242;2.17624;Entire home/apt;89;4;223;08/29/2019;2.43;2;323
265491;Beach room amazing view in center;1392322;Kitty;Ciutat Vella;la Barceloneta;41.37707;2.18787;Private room;80;3;155;09/02/2019;1.76;1;66
267816;Luxury Motor Yacht in Barcelona Port Ol?≠mpic near Casino;1404293;Sergio;Ciutat Vella;el Barri G?tic;41.379;2.18327;Entire home/apt;900;2;21;05/20/2019;0.24;1;349
268017;Cosy apartment 3 bedrooms;1405013;Bcn Clols Apartments, S.L.;Eixample;la Dreta de l'Eixample;41.3939;2.17154;Entire home/apt;196;2;8;05/13/2019;0.09;16;304
268022;Charming 3 bedrooms apartment;1405013;Bcn Clols Apartments, S.L.;Eixample;la Dreta de l'Eixample;41.39288;2.16987;Entire home/apt;196;2;9;05/02/2019;0.27;16;312
268417;Cozy Room near the Center. 2 l?≠nes underg.Eixample;1406951;Salva;Eixample;la Nova Esquerra de l'Eixample;41.37687;2.14979;Private room;36;3;188;09/09/2019;2.6;1;214
269467;Sunny and quiet Loft next to Sagrada Familia;1411775;Jeremies;Eixample;la Sagrada Familia;41.40338;2.17685;Entire home/apt;110;7;49;09/13/2019;2.35;3;326
270050;Double Room in El vaixell de paper;1414100;Xavier;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38466;2.18;Private room;48;1;415;08/30/2019;4.36;2;82
271996;GR Apartment near Sagrada Familia;155686;Sonia;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.40279;2.16612;Entire home/apt;51;31;13;08/15/2018;0.14;2;209
272282;Exquisito apartamento con espacios abiertos y luz;1425070;Mar;Eixample;la Nova Esquerra de l'Eixample;41.38237;2.15769;Entire home/apt;290;3;275;09/05/2019;3.13;1;33
